# Pathway	demo_Abundance-CPM
UNMAPPED	805409
UNINTEGRATED	191002
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	191002
PWY-6700: queuosine biosynthesis I (de novo)	1081.46
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_vulgatus	1081.46
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	981.768
COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Bacteroides.s__Bacteroides_vulgatus	981.768
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	776.089
PWY-7851: coenzyme A biosynthesis II (eukaryotic)|g__Bacteroides.s__Bacteroides_vulgatus	776.089
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	749.421
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	749.421
